Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url
2023,Betis,La Liga,Rui Silva,POR,GK,28,1994,26,26,2340,26,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/ea83bfa6/Rui-Silva
2023,Celta Vigo,La Liga,Joseph Aidoo,GHA,DF,26,1995,35,35,3119,34.7,3,0,3,3,0,0,6,1,1,1,0.1,1.1,15,95,2,0.09,0,0.09,0.09,0.09,0.03,0,0.03,0.03,0.03,https://fbref.com/en/players/18abe173/Joseph-Aidoo
2023,Celta Vigo,La Liga,Iago Aspas,ESP,FW,34,1987,37,31,2868,31.9,12,3,15,10,2,3,6,0,11,8.7,5.6,14.3,80,162,239,0.38,0.09,0.47,0.31,0.41,0.35,0.18,0.52,0.27,0.45,https://fbref.com/en/players/7dcf86f6/Iago-Aspas
2023,Celta Vigo,La Liga,Fran Beltrán,ESP,MF,23,1999,36,33,2855,31.7,0,2,2,0,0,0,4,0,0.9,0.9,1.7,2.6,27,138,33,0,0.06,0.06,0,0.06,0.03,0.05,0.08,0.03,0.08,https://fbref.com/en/players/ed5c5fa3/Fran-Beltran
2023,Celta Vigo,La Liga,Franco Cervi,ARG,"MF,DF",28,1994,36,21,1894,21,0,4,4,0,0,0,2,1,2.3,2.3,2.7,5.1,45,69,113,0,0.19,0.19,0,0.19,0.11,0.13,0.24,0.11,0.24,https://fbref.com/en/players/5e1028e5/Franco-Cervi
2023,Celta Vigo,La Liga,Carlos Dominguez,ESP,DF,21,2001,3,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,https://fbref.com/en/players/3521abfe/Carlos-Dominguez
2023,Celta Vigo,La Liga,Pablo Durán,ESP,"MF,DF",21,2001,4,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/6db116ec/Pablo-Duran
2023,Celta Vigo,La Liga,Javi Galán,ESP,DF,27,1994,37,36,3160,35.1,0,3,3,0,0,0,6,0,0.6,0.6,4.1,4.6,141,125,244,0,0.09,0.09,0,0.09,0.02,0.12,0.13,0.02,0.13,https://fbref.com/en/players/a4b00319/Javi-Galan
2023,Celta Vigo,La Liga,Luca de la Torre,USA,MF,24,1998,28,16,1481,16.5,0,2,2,0,0,0,6,0,1.1,1.1,1.3,2.4,55,62,73,0,0.12,0.12,0,0.12,0.06,0.08,0.15,0.06,0.15,https://fbref.com/en/players/e9241b40/Luca-de-la-Torre
2023,Celta Vigo,La Liga,Hugo Mallo,ESP,DF,31,1991,26,26,2163,24,0,1,1,0,0,0,6,1,1.4,1.4,2.6,3.9,27,93,108,0,0.04,0.04,0,0.04,0.06,0.11,0.16,0.06,0.16,https://fbref.com/en/players/cb574619/Hugo-Mallo
2023,Celta Vigo,La Liga,Agustín Marchesín,ARG,GK,34,1988,19,19,1710,19,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/853b7c48/Agustin-Marchesin
2023,Celta Vigo,La Liga,Fernando Medrano,ESP,DF,22,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/d854c9d0/Fernando-Medrano
2023,Celta Vigo,La Liga,Óscar Mingueza,ESP,DF,23,1999,21,13,1284,14.3,0,0,0,0,0,0,2,0,0.4,0.4,1.4,1.7,24,69,40,0,0,0,0,0,0.03,0.1,0.12,0.03,0.12,https://fbref.com/en/players/056269d7/Oscar-Mingueza
2023,Celta Vigo,La Liga,Unai Núñez,ESP,DF,25,1997,36,35,3151,35,0,0,0,0,0,0,8,0,1.2,1.2,0.1,1.3,31,146,5,0,0,0,0,0,0.03,0,0.04,0.03,0.04,https://fbref.com/en/players/be170419/Unai-Nunez
2023,Celta Vigo,La Liga,Gonçalo Paciência,POR,"FW,MF",27,1994,25,5,662,7.4,2,0,2,2,0,0,2,1,1.9,1.9,0.6,2.5,7,11,43,0.27,0,0.27,0.27,0.27,0.26,0.08,0.33,0.26,0.33,https://fbref.com/en/players/962e54cb/Goncalo-Paciencia
2023,Celta Vigo,La Liga,Carles Pérez,ESP,"MF,FW",24,1998,35,23,2144,23.8,3,5,8,3,0,0,5,0,2.7,2.7,2,4.7,93,66,185,0.13,0.21,0.34,0.13,0.34,0.12,0.08,0.2,0.12,0.2,https://fbref.com/en/players/a8f21b9f/Carles-Perez
2023,Celta Vigo,La Liga,Óscar Rodríguez Arnaiz,ESP,MF,24,1998,33,19,1775,19.7,2,0,2,2,0,0,6,0,3.6,3.6,2.2,5.9,29,118,37,0.1,0,0.1,0.1,0.1,0.18,0.11,0.3,0.18,0.3,https://fbref.com/en/players/19709006/Oscar-Rodriguez-Arnaiz
2023,Celta Vigo,La Liga,Miguel Rodríguez,ESP,"MF,FW",19,2003,7,3,252,2.8,1,1,2,1,0,0,0,0,0.2,0.2,0.1,0.3,10,6,22,0.36,0.36,0.71,0.36,0.71,0.07,0.05,0.12,0.07,0.12,https://fbref.com/en/players/958d67bb/Miguel-Rodriguez
2023,Celta Vigo,La Liga,Haris Seferović,SUI,FW,30,1992,18,10,887,9.9,3,1,4,3,0,0,3,0,1.8,1.8,0.5,2.3,12,17,44,0.3,0.1,0.41,0.3,0.41,0.19,0.05,0.24,0.19,0.24,https://fbref.com/en/players/a45eac1f/Haris-Seferovic
2023,Celta Vigo,La Liga,Augusto Solari,ARG,MF,30,1992,12,3,262,2.9,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,5,12,14,0,0.34,0.34,0,0.34,0.09,0.07,0.16,0.09,0.16,https://fbref.com/en/players/3ca6106c/Augusto-Solari
