"Rank","Player","Team","ExpectedGoals(xG)","ActualGoals","Minutes","Matches","Country"
88,"Rubén Alcaraz","Cádiz",3.3,3,3138,36,"ESP"
90,"Abdon Prats","Mallorca",3.2,6,1258,34,"ESP"
91,"Ilias Akhomach","Villarreal",3.2,2,1511,31,"MAR"
92,"Abdessamad Ezzalzouli","Real Betis",3.2,1,921,28,"MAR"
93,"Antonio Puertas","Granada CF",3.2,0,720,27,"ESP"
94,"Pedri","Barcelona",3.1,4,1482,24,"ESP"
95,"Jonathan Bamba","Celta de Vigo",3,3,1993,27,"CIV"
96,"Eric Garcia","Girona",2.9,5,2697,32,"ESP"
96,"Iván Martin","Girona",2.9,5,2744,36,"ESP"
98,"Daniel Parejo","Villarreal",2.9,3,2586,33,"ESP"
99,"Iker Muniain","Athletic Club",2.9,2,585,20,"ESP"
99,"Roger","Cádiz",2.9,2,1367,23,"ESP"
101,"Rodrigo Riquelme","Atlético de Madrid",2.8,3,1522,34,"ESP"
102,"Ezequiel Ávila","Real Betis",2.8,2,1166,23,"ARG"
102,"Miguel Gutiérrez","Girona",2.8,2,3037,35,"ESP"
104,"Sergi Canos","Valencia CF",2.8,1,1234,27,"ESP"
105,"Ianis Hagi","Alavés",2.8,0,798,22,"ROU"
106,"Javier Guerra","Valencia CF",2.7,4,2502,36,"ESP"
106,"Martin Zubimendi","Real Sociedad",2.7,4,2655,31,"ESP"
108,"Juanmi","Cádiz",2.7,3,872,16,"ESP"
108,"Mikel Vesga","Athletic Club",2.7,3,1535,27,"ESP"
110,"Radamel Falcao","Rayo Vallecano",2.7,1,391,22,"COL"
110,"Sergi Cardona","Las Palmas",2.7,1,2816,35,"ESP"
112,"Jorge de Frutos","Rayo Vallecano",2.6,2,1542,36,"ESP"
112,"Oscar Mingueza","Celta de Vigo",2.6,2,3002,38,"ESP"
114,"Antonio Sánchez","Mallorca",2.5,3,1463,29,"ESP"
115,"Assane Diao","Real Betis",2.5,2,1052,18,"ESP"
115,"Facundo Pellistri","Granada CF",2.5,2,1220,15,"URU"
115,"Javier Munoz","Las Palmas",2.5,2,2646,37,"ESP"
115,"Vitor Roque","Barcelona",2.5,2,319,14,"BRA"
119,"Luca de la Torre","Celta de Vigo",2.5,1,1956,31,"USA"
120,"Edgar González","Almería",2.4,2,2528,31,"ESP"
121,"Arsen Zakharyan","Real Sociedad",2.4,1,1229,29,"RUS"
121,"Giuliano Simeone","Alavés",2.4,1,628,14,"ARG"
123,"Williot Swedberg","Celta de Vigo",2.3,5,434,15,"SWE"
124,"Goncalo Guedes","Villarreal",2.3,3,951,17,"POR"
124,"Rubén Garcia","Osasuna",2.3,3,1549,30,"ESP"
126,"Carlos Vicente","Alavés",2.3,2,1118,18,"ESP"
127,"Pablo Ibánez","Osasuna",2.3,1,1141,33,"ESP"
127,"Randy Nteka","Rayo Vallecano",2.3,1,563,16,"ANG"
127,"Ronald Araujo","Barcelona",2.3,1,1994,25,"URU"
130,"Sergi Darder","Mallorca",2.2,2,2154,36,"ESP"
131,"Nabil Fekir","Real Betis",2.2,1,1049,19,"FRA"
132,"Kirian Rodriguez","Las Palmas",2.1,6,3217,37,"ESP"
133,"David Lopez","Girona",2.1,3,1975,25,"ESP"
134,"Alberto Mari","Valencia CF",2.1,1,264,16,"ESP"
134,"Gonzalo Escalante","Cádiz",2.1,1,1702,25,"ARG"
134,"Robert Navarro","Cádiz",2.1,1,1905,28,"ESP"
137,"Alberto Moleiro","Las Palmas",2,3,1807,28,"ESP"
138,"Germán Pezzella","Real Betis",2,1,2770,32,"ARG"
138,"Gonzalo Melero","Almería",2,1,1093,28,"ESP"
138,"Jules Koundé","Barcelona",2,1,2899,35,"FRA"
141,"Pablo Fornals","Real Betis",1.9,3,1153,15,"ESP"
141,"Sergio Ramos","Sevilla",1.9,3,2518,28,"ESP"
143,"Santi Comesana","Villarreal",1.9,2,1656,27,"ESP"
144,"Daley Blind","Girona",1.9,1,2971,34,"NED"
144,"Gonzalo Villar","Granada CF",1.9,1,1785,35,"ESP"
144,"Kike Pérez","Rayo Vallecano",1.9,1,828,24,"ESP"
147,"Ruben Sobrino","Cádiz",1.9,0,1648,32,"ESP"
148,"Aleix Garcia","Girona",1.8,3,3201,37,"ESP"
148,"Rodrigo De Paul","Atlético de Madrid",1.8,3,2084,34,"ARG"
150,"Sergi Guardiola","Cádiz",1.8,1,475,22,"ESP"
151,"Gerard Gumbau","Granada CF",1.8,0,2684,35,"ESP"
152,"Daniel Carvajal","Real Madrid",1.7,4,2172,28,"ESP"
153,"Moi Gomez","Osasuna",1.7,3,2010,28,"ESP"
153,"Sergi Roberto","Barcelona",1.7,3,863,14,"ESP"
155,"Asier Villalibre","Athletic Club",1.7,2,503,18,"ESP"
155,"José Arnáiz","Osasuna",1.7,2,922,26,"ESP"
157,"Oscar Valentin","Rayo Vallecano",1.7,1,2700,34,"ESP"
157,"Toni Kroos","Real Madrid",1.7,1,2130,33,"GER"
159,"Peter González","Valencia CF",1.7,0,646,15,"DOM"
160,"Alex Suárez","Las Palmas",1.6,2,2566,32,"ESP"
160,"Joao Cancelo","Barcelona",1.6,2,2506,32,"POR"
160,"Yerson Mosquera","Villarreal",1.6,2,1228,16,"COL"
163,"Antonio Rüdiger","Real Madrid",1.6,1,2707,33,"GER"
163,"Juan Miranda","Real Betis",1.6,1,1860,25,"ESP"
163,"Lucas Torro","Osasuna",1.6,1,1788,28,"ESP"
166,"Alex Sola","Alavés",1.6,0,1285,31,"ESP"
166,"Amath Ndiaye","Mallorca",1.6,0,388,15,"SEN"
166,"Maximiliano Gomez","Cádiz",1.6,0,1157,31,"URU"
166,"Nemanja Radonjic","Mallorca",1.6,0,350,11,"SRB"
170,"Carlos Fernández","Real Sociedad",1.5,2,406,10,"ESP"
170,"Oscar Rodriguez","Getafe",1.5,2,962,24,"ESP"
170,"Unai Gomez","Athletic Club",1.5,2,867,25,"ESP"
173,"Djibril Sow","Sevilla",1.5,1,1469,24,"SUI"
173,"Javier Hernández","Cádiz",1.5,1,2517,30,"ESP"
173,"Marko Milovanovic","Almería",1.5,1,301,11,"SRB"
173,"Pathé Ciss","Rayo Vallecano",1.5,1,1658,31,"SEN"
173,"Saul Niguez","Atlético de Madrid",1.5,1,1363,34,"ESP"
173,"Sory Kaba","Las Palmas",1.5,1,720,17,"GUI"
173,"Yan Couto","Girona",1.5,1,2245,34,"BRA"
180,"Matias Arezo","Granada CF",1.5,0,359,14,"URU"
181,"Arda Güler","Real Madrid",1.4,6,373,10,"TUR"
182,"Darwin Machis","Cádiz",1.4,4,782,21,"VEN"
183,"Antonio Raillo","Mallorca",1.4,3,2198,26,"ESP"
183,"Lucas Vázquez","Real Madrid",1.4,3,1410,29,"ESP"
185,"Bebé","Rayo Vallecano",1.4,2,193,19,"CPV"
185,"Daniel Rodriguez","Mallorca",1.4,2,2632,36,"ESP"
185,"Rafa Mir","Sevilla",1.4,2,382,15,"ESP"
185,"Robin Le Normand","Real Sociedad",1.4,2,2473,29,"ESP"
185,"Sheraldo Becker","Real Sociedad",1.4,2,772,15,"SUR"
190,"Carl Starfelt","Celta de Vigo",1.4,1,2218,27,"SWE"
190,"Ignasi Miquel","Granada CF",1.4,1,2991,34,"ESP"
190,"Suso","Sevilla",1.4,1,1514,29,"ESP"
190,"Tadeo Allende","Celta de Vigo",1.4,1,330,10,"ARG"
190,"Unai Nunez","Celta de Vigo",1.4,1,2802,34,"ESP"
195,"Jordi Martin","Getafe",1.4,0,574,13,"ESP"
195,"Mario Hermoso","Atlético de Madrid",1.4,0,2556,31,"ESP"
195,"Yéremi Pino","Villarreal",1.4,0,479,7,"ESP"
198,"Aurélien Tchouaméni","Real Madrid",1.3,3,1987,27,"FRA"
198,"Luka Romero","Almería",1.3,3,434,13,"ARG"
200,"Ivan Rakitic","Sevilla",1.3,2,1425,18,"CRO"
200,"Luka Modric","Real Madrid",1.3,2,1685,32,"CRO"
200,"Nahuel Molina","Atlético de Madrid",1.3,2,1855,30,"ARG"
200,"Pejino","Las Palmas",1.3,2,498,17,"ESP"
204,"Alejandro Catena","Osasuna",1.3,1,2536,30,"ESP"
204,"Jon Pacheco","Real Sociedad",1.3,1,1521,23,"ESP"
204,"Nacho Vidal","Mallorca",1.3,1,506,15,"ESP"
207,"Dion Lopy","Almería",1.3,0,1917,30,"SEN"
207,"José Maria Callejon","Granada CF",1.3,0,794,25,"ESP"
209,"Jorge Cuenca","Villarreal",1.2,3,1961,29,"ESP"
210,"Andreas Christensen","Barcelona",1.2,2,1990,30,"DEN"
210,"Matija Nastasic","Mallorca",1.2,2,2257,26,"SRB"
210,"Sergio Akieme","Almería",1.2,2,1676,19,"EQG"
213,"Aitor Paredes","Athletic Club",1.2,1,2706,34,"ESP"
213,"Carles Alena","Getafe",1.2,1,1007,29,"ESP"
213,"Carles Pérez","Celta de Vigo",1.2,1,768,16,"ESP"
213,"Jesus Vázquez","Valencia CF",1.2,1,705,20,"ESP"
213,"Unai Lopez","Rayo Vallecano",1.2,1,2123,35,"ESP"
218,"Benat Turrientes","Real Sociedad",1.2,0,1688,29,"ESP"
218,"Loic Badé","Sevilla",1.2,0,2283,28,"FRA"
218,"Luiz Henrique","Real Betis",1.2,0,611,14,"BRA"
218,"Mariano Diaz","Sevilla",1.2,0,239,9,"DOM"
218,"Omar Alderete","Getafe",1.2,0,2194,31,"PAR"
223,"Iker Munoz","Osasuna",1.1,4,1856,28,"ESP"
224,"Marc Roca","Real Betis",1.1,2,1986,26,"ESP"
225,"Fran Pérez","Valencia CF",1.1,1,2069,32,"ESP"
225,"Johnny","Real Betis",1.1,1,1331,17,"USA"
225,"Samu","Mallorca",1.1,1,2305,34,"POR"
225,"Saul Coco","Las Palmas",1.1,1,2293,30,"EQG"
229,"Jhon Solis","Girona",1.1,0,369,18,"COL"
229,"Rodri","Real Betis",1.1,0,1039,29,"ESP"
229,"Rubén Pena","Osasuna",1.1,0,2105,29,"ESP"
232,"Carlos Benavidez","Alavés",1,3,1121,29,"URU"
232,"Ricard Sánchez","Granada CF",1,3,2298,33,"ESP"
234,"Axel Witsel","Atlético de Madrid",1,2,2784,35,"BEL"
234,"Erik Lamela","Sevilla",1,2,459,13,"ARG"
236,"Étienne Capoue","Villarreal",1,1,1444,32,"FRA"
236,"Hugo Álvarez","Celta de Vigo",1,1,763,12,"ESP"
236,"Luis Hernández","Cádiz",1,1,722,9,"ESP"
236,"Pep Chavarria","Rayo Vallecano",1,1,1164,22,"ESP"
240,"Alfonso Espino","Rayo Vallecano",1,0,2512,31,"URU"
240,"David Alaba","Real Madrid",1,0,1156,14,"AUT"
240,"David Garcia","Osasuna",1,0,2336,27,"ESP"
240,"Johan Mojica","Osasuna",1,0,2041,30,"COL"
240,"Juan Brandariz","Almería",1,0,2432,31,"ESP"
240,"Lucas Robertone","Almería",1,0,2391,33,"ARG"
240,"Manu Morlanes","Mallorca",1,0,1610,35,"ESP"
240,"Marvin Park","Las Palmas",1,0,1852,31,"ESP"
240,"Renato Tapia","Celta de Vigo",1,0,1337,21,"PER"
249,"Kike Salas","Sevilla",0.9,3,1604,23,"ESP"
249,"Yuri Berchiche","Athletic Club",0.9,3,1931,27,"ESP"
251,"Aitor Ruibal","Real Betis",0.9,2,1015,18,"ESP"
251,"Gaston Álvarez","Getafe",0.9,2,2535,34,"URU"
251,"Reinildo","Atlético de Madrid",0.9,2,723,16,"MOZ"
254,"Bertrand Traoré","Villarreal",0.9,1,569,11,"BFA"
254,"Cristian Herrera","Las Palmas",0.9,1,159,8,"ESP"
254,"Gavi","Barcelona",0.9,1,943,12,"ESP"
254,"Javi Lopez","Alavés",0.9,1,2387,32,"ESP"
254,"Raul Garcia","Athletic Club",0.9,1,404,20,"ESP"
259,"Eduardo Camavinga","Real Madrid",0.9,0,1824,31,"FRA"
259,"Jon Olasagasti","Real Sociedad",0.9,0,351,14,"ESP"
259,"Juanlu Sánchez","Sevilla",0.9,0,1174,26,"ESP"
259,"Lázaro","Almería",0.9,0,274,14,"BRA"
259,"Lucien Agoume","Sevilla",0.9,0,777,12,"FRA"
259,"Mika Mármol","Las Palmas",0.9,0,3181,36,"ESP"
259,"Oscar Trejo","Rayo Vallecano",0.9,0,1381,31,"ARG"
259,"Pablo Barrios","Atlético de Madrid",0.9,0,1556,24,"ESP"
267,"Abderrahman Rebbach","Alavés",0.8,1,713,23,"ALG"
267,"Dani Garcia","Athletic Club",0.8,1,738,17,"ESP"
267,"José Ángel Carmona","Getafe",0.8,1,1312,30,"ESP"
267,"Lucas Pires","Cádiz",0.8,1,1527,28,"BRA"
267,"Marc Guiu","Barcelona",0.8,1,73,3,"ESP"
267,"Miguel Rubio","Granada CF",0.8,1,1559,19,"ESP"
267,"Nemanja Gudelj","Sevilla",0.8,1,1744,22,"SRB"
267,"Pablo Maffeo","Mallorca",0.8,1,1456,22,"ARG"
275,"Antonio Blanco","Alavés",0.8,0,2436,33,"ESP"
275,"Daniel Vivian","Athletic Club",0.8,0,2879,33,"ESP"
275,"Fali","Cádiz",0.8,0,2550,30,"ESP"
275,"Fran Beltrán","Celta de Vigo",0.8,0,2438,33,"ESP"
275,"Igor Zubeldia","Real Sociedad",0.8,0,2523,30,"ESP"
275,"Kamil Piatkowski","Granada CF",0.8,0,506,9,"POL"
275,"Pablo Torre","Girona",0.8,0,690,26,"ESP"
282,"Alberto Moreno","Villarreal",0.7,2,1490,27,"ESP"
282,"Frenkie de Jong","Barcelona",0.7,2,1637,20,"NED"
282,"Guido Rodriguez","Real Betis",0.7,2,1849,24,"ARG"
282,"Juanma Herzog","Las Palmas",0.7,2,291,4,"ESP"
282,"Rubén Duarte","Alavés",0.7,2,1875,28,"ESP"
282,"Valery Fernández","Girona",0.7,2,486,27,"ESP"
288,"Adrià Pedrosa","Sevilla",0.7,1,1749,31,"ESP"
288,"Aissa Mandi","Villarreal",0.7,1,1113,16,"ALG"
288,"Ander Guevara","Alavés",0.7,1,2936,37,"ESP"
288,"Andoni Gorosabel","Alavés",0.7,1,2863,36,"ESP"
288,"Javi Llabrés","Mallorca",0.7,1,235,16,"ESP"
288,"Julian Araujo","Las Palmas",0.7,1,1462,25,"MEX"
288,"Marc Pubill","Almería",0.7,1,1889,23,"ESP"
288,"Mouctar Diakhaby","Valencia CF",0.7,1,1071,14,"GUI"
296,"Ander Herrera","Athletic Club",0.7,0,1023,23,"ESP"
296,"Ansu Fati","Barcelona",0.7,0,47,3,"ESP"
296,"Borja Iglesias","Real Betis",0.7,0,404,11,"ESP"
296,"César Montes","Almería",0.7,0,1792,21,"MEX"
296,"Chadi Riad","Real Betis",0.7,0,2164,26,"MAR"
296,"Cristhian Mosquera","Valencia CF",0.7,0,3074,36,"ESP"
296,"Dimitri Foulquier","Valencia CF",0.7,0,1833,33,"FRA"
296,"Iddrisu Baba","Almería",0.7,0,1424,25,"GHA"
296,"Isaac Carcelén","Cádiz",0.7,0,2609,35,"ESP"
296,"Iván Balliu","Rayo Vallecano",0.7,0,2876,33,"ALB"
296,"Oriol Romeu","Barcelona",0.7,0,930,28,"ESP"
296,"Rafa Marin","Alavés",0.7,0,2442,33,"ESP"
296,"Sergio Ruiz","Granada CF",0.7,0,2501,35,"ESP"
309,"André Almeida","Valencia CF",0.6,2,969,18,"POR"
309,"Bruno Méndez","Granada CF",0.6,2,1336,17,"URU"
311,"Alfonso Pedraza","Villarreal",0.6,1,1119,19,"ESP"
311,"Jesus Santiago","Getafe",0.6,1,657,14,"ESP"
311,"Jon Moncayola","Osasuna",0.6,1,1801,33,"ESP"
311,"Nahuel Tenaglia","Alavés",0.6,1,1131,25,"ARG"
311,"Oscar de Marcos","Athletic Club",0.6,1,2261,28,"ESP"
316,"Abdelkabir Abqar","Alavés",0.6,0,2314,27,"MAR"
316,"Adnan Januzaj","Sevilla",0.6,0,187,8,"BEL"
316,"César Azpilicueta","Atlético de Madrid",0.6,0,1421,25,"ESP"
316,"Enzo Loiodice","Las Palmas",0.6,0,1792,34,"FRA"
316,"Joaquin Panichelli","Alavés",0.6,0,222,8,"ARG"
316,"Juan Iglesias","Getafe",0.6,0,1413,23,"ESP"
316,"Luis Milla","Getafe",0.6,0,2123,27,"ESP"
316,"Oliver Torres","Sevilla",0.6,0,1620,27,"ESP"
316,"Thierry Correia","Valencia CF",0.6,0,2157,31,"POR"
325,"Francisco Garcia","Real Madrid",0.5,1,1396,25,"ESP"
325,"Giovanni González","Mallorca",0.5,1,2463,34,"URU"
325,"José Copete","Mallorca",0.5,1,1335,19,"ESP"
325,"José Gayà","Valencia CF",0.5,1,1797,24,"ESP"
329,"Benat Prados","Athletic Club",0.5,0,1450,26,"ESP"
329,"Famara Diédhiou","Granada CF",0.5,0,82,8,"SEN"
329,"Franco Cervi","Celta de Vigo",0.5,0,537,17,"ARG"
329,"Gabriel Paulista","Atlético de Madrid",0.5,0,1806,23,"BRA"
329,"Hamari Traoré","Real Sociedad",0.5,0,2296,31,"MLI"
329,"Iván Alejo","Cádiz",0.5,0,1702,30,"ESP"
329,"Manuel Sánchez","Celta de Vigo",0.5,0,1777,26,"ESP"
329,"Manuel Trigueros","Villarreal",0.5,0,299,14,"ESP"
329,"Mauro Arambarri","Getafe",0.5,0,337,7,"URU"
329,"Nacho Fernandez","Real Madrid",0.5,0,1739,29,"ESP"
329,"Ramon Terrats","Villarreal",0.5,0,780,19,"ESP"
329,"Victor Chust","Cádiz",0.5,0,1870,22,"ESP"
341,"Abdul Mumin","Rayo Vallecano",0.4,1,1695,20,"GHA"
341,"Benito","Las Palmas",0.4,1,368,20,"ESP"
341,"Juan Foyth","Villarreal",0.4,1,1063,12,"ARG"
341,"William Carvalho","Real Betis",0.4,1,669,22,"POR"
345,"Alejandro Pozo","Almería",0.4,0,970,21,"ESP"
345,"Álvaro Fernández","Granada CF",0.4,0,474,13,"ESP"
345,"Andrei Ratiu","Rayo Vallecano",0.4,0,627,12,"ROU"
345,"Carlos Romero","Villarreal",0.4,0,259,7,"ESP"
345,"Cédric Bakambu","Real Betis",0.4,0,195,4,"COD"
345,"Ibrahima Koné","Almería",0.4,0,275,9,"MLI"
345,"Inigo Martinez","Barcelona",0.4,0,1293,20,"ESP"
345,"Jorge Herrando","Osasuna",0.4,0,1644,19,"ESP"
345,"José Giménez","Atlético de Madrid",0.4,0,1323,22,"URU"
345,"Koke","Atlético de Madrid",0.4,0,2502,35,"ESP"
345,"Mohamed-Ali Cho","Real Sociedad",0.4,0,239,11,"FRA"
345,"Omar Mascarell","Mallorca",0.4,0,1573,29,"EQG"
345,"Oscar Melendo","Granada CF",0.4,0,1126,26,"ESP"
345,"Raul Albiol","Villarreal",0.4,0,2035,26,"ESP"
345,"Selim Amallah","Valencia CF",0.4,0,597,20,"MAR"
345,"Xeber Alkain","Alavés",0.4,0,300,10,"ESP"
361,"Aleksandar Sedlar","Alavés",0.3,1,948,11,"SRB"
361,"Brian Ocampo","Cádiz",0.3,1,237,13,"URU"
361,"Inigo Ruiz de Galarreta","Athletic Club",0.3,1,2104,29,"ESP"
361,"Marcos Acuna","Sevilla",0.3,1,1296,21,"ARG"
361,"Theodor Corbeanu","Granada CF",0.3,1,196,9,"CAN"
366,"Aihen Munoz","Real Sociedad",0.3,0,1120,21,"ESP"
366,"Álex Fernández","Cádiz",0.3,0,1283,26,"ESP"
366,"Aridane Hernández","Rayo Vallecano",0.3,0,1691,19,"EQG"
366,"Aritz Elustondo","Real Sociedad",0.3,0,808,15,"ESP"
366,"Ben Brereton Diaz","Villarreal",0.3,0,261,14,"CHI"
366,"Carlos Dominguez","Celta de Vigo",0.3,0,1585,22,"ESP"
366,"Cenk Özkacar","Valencia CF",0.3,0,1595,23,"TUR"
366,"Damian Suarez","Getafe",0.3,0,1306,16,"URU"
366,"Daniel Ceballos","Real Madrid",0.3,0,586,20,"ESP"
366,"Diego Rico","Getafe",0.3,0,2536,32,"ESP"
366,"Domingos Duarte","Getafe",0.3,0,905,15,"POR"
366,"Hugo Sotelo","Celta de Vigo",0.3,0,718,17,"ESP"
366,"Ilaix Moriba","Getafe",0.3,0,606,14,"GUI"
366,"Jaume Costa","Mallorca",0.3,0,1681,30,"ESP"
366,"Joan Jordán","Sevilla",0.3,0,378,8,"ESP"
366,"Jon Magunazelaia","Real Sociedad",0.3,0,118,5,"ESP"
366,"Mamadou Mbaye","Cádiz",0.3,0,286,4,"SEN"
366,"Martin Valjent","Mallorca",0.3,0,2354,28,"SVK"
366,"Miguel Rodriguez","Celta de Vigo",0.3,0,291,15,"ESP"
366,"Mihailo Ristic","Celta de Vigo",0.3,0,807,12,"SRB"
366,"Raul Torrente","Granada CF",0.3,0,1252,17,"ESP"
366,"Rominigue Kouamé","Cádiz",0.3,0,820,16,"MLI"
366,"Shon Weissman","Granada CF",0.3,0,78,5,"ISR"
366,"Sokratis Papastathopoulos","Real Betis",0.3,0,1135,15,"GRE"
366,"Stefan Savic","Atlético de Madrid",0.3,0,1631,23,"MNE"
366,"Yeray Álvarez","Athletic Club",0.3,0,1155,19,"ESP"
392,"Bruno Langa","Almería",0.2,1,819,11,"MOZ"
392,"Hugo Guillamon","Valencia CF",0.2,1,1305,26,"ESP"
392,"Jesus Areso","Osasuna",0.2,1,2661,37,"ESP"
392,"Kaiky","Almería",0.2,1,520,8,"BRA"
392,"Sergi Altimira","Real Betis",0.2,1,566,14,"ESP"
397,"Aiham Ousou","Cádiz",0.2,0,429,6,"SYR"
397,"Alejo Veliz","Sevilla",0.2,0,31,6,"ARG"
397,"Arnau Martinez","Girona",0.2,0,1240,21,"ESP"
