"Rank","Player","Team","BigChancesCreated","TotalAssists","Minutes","Matches","Country"
45,"Alex Berenguer","Athletic Club",8,3,1581,35,"ESP"
46,"Pedri","Barcelona",8,2,1482,24,"ESP"
47,"Yan Couto","Girona",7,8,2245,34,"BRA"
48,"Jude Bellingham","Real Madrid",7,6,2323,28,"ENG"
48,"Mason Greenwood","Getafe",7,6,2667,33,"ENG"
50,"Cristian Portu","Girona",7,5,1271,36,"ESP"
50,"Oihan Sancet","Athletic Club",7,5,1991,30,"ESP"
50,"Saul Niguez","Atlético de Madrid",7,5,1363,34,"ESP"
53,"Daniel Rodriguez","Mallorca",7,4,2632,36,"ESP"
53,"Isaac Romero","Sevilla",7,4,1050,14,"ESP"
53,"Jon Guridi","Alavés",7,4,2697,36,"ESP"
53,"Koke","Atlético de Madrid",7,4,2502,35,"ESP"
57,"Ángel Correa","Atlético de Madrid",7,2,1525,32,"ARG"
57,"Carlos Neva","Granada CF",7,2,3152,36,"ESP"
57,"Ilias Akhomach","Villarreal",7,2,1511,31,"MAR"
57,"Jesus Navas","Sevilla",7,2,2010,29,"ESP"
61,"Ayoze Pérez","Real Betis",7,1,2307,31,"ESP"
61,"Robert Navarro","Cádiz",7,1,1905,28,"ESP"
63,"Alexander Sørloth","Villarreal",6,6,2491,34,"NOR"
63,"Jesus Areso","Osasuna",6,6,2661,37,"ESP"
65,"Manuel Sánchez","Celta de Vigo",6,5,1777,26,"ESP"
66,"Fran Pérez","Valencia CF",6,4,2069,32,"ESP"
67,"Alfonso Pedraza","Villarreal",6,3,1119,19,"ESP"
67,"Joao Félix","Barcelona",6,3,1542,30,"POR"
67,"Johan Mojica","Osasuna",6,3,2041,30,"COL"
67,"Luiz Henrique","Real Betis",6,3,611,14,"BRA"
71,"Bryan Zaragoza","Granada CF",6,2,1640,21,"ESP"
71,"César Azpilicueta","Atlético de Madrid",6,2,1421,25,"ESP"
71,"Rubén Garcia","Osasuna",6,2,1549,30,"ESP"
71,"Sergi Canos","Valencia CF",6,2,1234,27,"ESP"
71,"Vedat Muriqi","Mallorca",6,2,2329,29,"KVX"
76,"Daniel Parejo","Villarreal",5,5,2586,33,"ESP"
