Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2023,Real Madrid,La Liga,team,26,38,542,353,242,212,88,259,565,45.8,306,365,105,260,296,838,469,5,https://fbref.com/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
2023,Real Madrid,La Liga,opponent,26,38,676,407,377,218,81,379,854,44.4,475,492,175,317,331,1007,678,8,https://fbref.com/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
2023,Real Sociedad,La Liga,team,30,38,660,395,304,254,102,285,613,46.5,328,399,103,296,271,931,624,13,https://fbref.com/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
2023,Real Sociedad,La Liga,opponent,30,38,661,403,341,237,83,293,600,48.8,307,402,110,292,325,986,613,15,https://fbref.com/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
2023,Sevilla,La Liga,team,35,38,587,367,261,230,96,281,591,47.5,310,361,127,234,339,926,633,9,https://fbref.com/en/squads/ad2be733/2022-2023/Sevilla-Stats
2023,Sevilla,La Liga,opponent,35,38,569,353,273,206,90,257,526,48.9,269,358,96,262,271,840,769,13,https://fbref.com/en/squads/ad2be733/2022-2023/Sevilla-Stats
2023,Valencia,La Liga,team,28,38,678,428,340,254,84,311,645,48.2,334,370,75,295,288,966,643,21,https://fbref.com/en/squads/dcc91a7b/2022-2023/Valencia-Stats
2023,Valencia,La Liga,opponent,28,38,645,382,354,219,72,307,659,46.6,352,418,133,285,294,939,834,15,https://fbref.com/en/squads/dcc91a7b/2022-2023/Valencia-Stats
2023,Valladolid,La Liga,team,36,38,671,396,334,251,86,296,628,47.1,332,432,149,283,345,1016,767,8,https://fbref.com/en/squads/17859612/2022-2023/Valladolid-Stats
2023,Valladolid,La Liga,opponent,36,38,634,389,309,232,93,318,627,50.7,309,409,97,312,264,898,662,5,https://fbref.com/en/squads/17859612/2022-2023/Valladolid-Stats
2023,Villarreal,La Liga,team,32,38,578,370,276,201,101,270,534,50.6,264,372,125,247,262,840,691,16,https://fbref.com/en/squads/2a8183b3/2022-2023/Villarreal-Stats
2023,Villarreal,La Liga,opponent,32,38,688,423,349,240,99,345,780,44.2,435,426,114,312,349,1037,618,16,https://fbref.com/en/squads/2a8183b3/2022-2023/Villarreal-Stats
2024,Alavés,La Liga,team,30,38,578,347,284,227,67,290,629,46.1,339,363,117,246,279,857,810,5,https://fbref.com/en/squads/8d6fd021/2023-2024/Alaves-Stats
2024,Alavés,La Liga,opponent,30,38,553,340,279,216,58,254,564,45,310,393,115,278,233,786,802,14,https://fbref.com/en/squads/8d6fd021/2023-2024/Alaves-Stats
2024,Almería,La Liga,team,35,38,633,372,354,222,57,280,582,48.1,302,430,134,296,313,946,856,19,https://fbref.com/en/squads/78ecf4bb/2023-2024/Almeria-Stats
2024,Almería,La Liga,opponent,35,38,583,364,249,236,98,314,613,51.2,299,357,103,254,280,863,676,15,https://fbref.com/en/squads/78ecf4bb/2023-2024/Almeria-Stats
2024,Athletic Club,La Liga,team,27,38,581,362,217,264,100,305,635,48,330,419,106,313,278,859,631,4,https://fbref.com/en/squads/2b390eca/2023-2024/Athletic-Club-Stats
2024,Athletic Club,La Liga,opponent,27,38,715,428,371,284,60,349,687,50.8,338,411,119,292,370,1085,843,27,https://fbref.com/en/squads/2b390eca/2023-2024/Athletic-Club-Stats
