Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,Url
2023,Almería,La Liga,Largie Ramazani,BEL,"FW,MF",21,2001,15.6,486,11,77,180,241,51,485,68,32,47.1,32,47.1,315,2661,1328,59,31,24,39,24,332,94,https://fbref.com/en/players/cc9256ef/Largie-Ramazani
2023,Almería,La Liga,Lucas Robertone,ARG,MF,25,1997,31.6,1711,67,345,918,479,38,1711,68,27,39.7,30,44.1,928,4923,2510,47,48,7,44,19,1081,97,https://fbref.com/en/players/a8981944/Lucas-Robertone
2023,Almería,La Liga,Umar Sadiq,NGA,FW,25,1997,2.7,74,3,6,31,39,18,74,12,4,33.3,8,66.7,47,390,211,5,8,6,7,11,53,7,https://fbref.com/en/players/686cbe7d/Umar-Sadiq
2023,Almería,La Liga,Dyego Sousa,POR,FW,32,1989,5.9,256,16,34,110,114,35,256,13,5,38.5,7,53.8,131,611,214,10,8,4,28,11,190,39,https://fbref.com/en/players/e4738e91/Dyego-Sousa
2023,Athletic Club,La Liga,Julen Agirrezabala,ESP,GK,21,2000,7.5,253,203,249,4,0,0,253,0,0,NA,0,NA,150,804,551,0,0,0,0,0,105,0,https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala
2023,Athletic Club,La Liga,Yeray Álvarez,ESP,DF,27,1995,25.9,1651,161,698,896,74,16,1651,11,6,54.5,1,9.1,898,6084,4073,32,17,1,8,1,915,8,https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez
2023,Athletic Club,La Liga,Adu Ares,ESP,"FW,MF",20,2001,0.9,69,2,5,18,46,3,69,9,5,55.6,2,22.2,51,410,246,8,4,1,1,3,49,19,https://fbref.com/en/players/a461f098/Adu-Ares
2023,Athletic Club,La Liga,Mikel Balenziaga,ESP,DF,34,1988,1.3,77,2,14,39,25,0,77,1,1,100,0,0,29,100,50,0,2,0,0,1,41,6,https://fbref.com/en/players/1fe67e86/Mikel-Balenziaga
2023,Athletic Club,La Liga,Yuri Berchiche,ESP,DF,32,1990,26.7,1865,92,478,899,506,24,1865,30,12,40,15,50,966,4831,2537,59,45,3,22,14,1047,95,https://fbref.com/en/players/b6e50615/Yuri-Berchiche
2023,Athletic Club,La Liga,Álex Berenguer,ESP,FW,27,1995,25.5,1298,22,135,390,794,117,1298,85,37,43.5,44,51.8,716,4451,2024,73,54,35,63,39,848,249,https://fbref.com/en/players/dc1c2fce/Alex-Berenguer
2023,Athletic Club,La Liga,Ander Capa,ESP,DF,30,1992,1.2,110,2,24,50,37,2,110,3,2,66.7,1,33.3,53,406,193,5,9,1,3,2,56,7,https://fbref.com/en/players/37f1cf47/Ander-Capa
2023,Athletic Club,La Liga,Dani García,ESP,MF,32,1990,16.5,868,43,183,560,130,5,868,2,2,100,0,0,411,1289,514,6,6,0,6,4,497,8,https://fbref.com/en/players/240d3a0b/Dani-Garcia
2023,Athletic Club,La Liga,Raúl García,ESP,"FW,MF",36,1986,10.7,446,9,32,192,224,68,446,12,6,50,5,41.7,230,940,453,12,15,2,13,8,321,62,https://fbref.com/en/players/b418dbd4/Raul-Garcia
2023,Athletic Club,La Liga,Gorka Guruzeta,ESP,FW,25,1996,15.8,587,13,48,274,267,74,587,20,10,50,10,50,296,1161,450,15,10,4,40,22,412,93,https://fbref.com/en/players/6b5ea2f4/Gorka-Guruzeta
2023,Athletic Club,La Liga,Ander Herrera,ESP,MF,32,1989,7.7,540,18,99,302,141,17,540,10,5,50,4,40,316,1009,452,8,8,1,6,8,387,14,https://fbref.com/en/players/436a9dd0/Ander-Herrera
2023,Athletic Club,La Liga,Iñigo Lekue,ESP,DF,29,1993,14.7,951,45,265,450,249,13,951,22,11,50,9,40.9,521,2856,1643,42,25,6,17,3,506,59,https://fbref.com/en/players/59b7d823/Inigo-Lekue
2023,Athletic Club,La Liga,Óscar de Marcos,ESP,DF,33,1989,31.3,2218,93,525,1042,671,34,2218,31,12,38.7,17,54.8,1119,4785,2851,76,68,8,26,19,1245,153,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2023,Athletic Club,La Liga,Iñigo Martínez,ESP,DF,31,1991,14.9,914,117,451,430,38,15,914,0,0,NA,0,NA,495,3173,2165,11,10,0,4,2,529,4,https://fbref.com/en/players/3fc45c73/Inigo-Martinez
2023,Athletic Club,La Liga,Jon Morcillo,ESP,"FW,MF",23,1998,0.8,51,0,9,13,30,3,51,5,3,60,0,0,37,332,198,6,6,1,0,2,38,15,https://fbref.com/en/players/b7d7f3bf/Jon-Morcillo
2023,Athletic Club,La Liga,Iker Muniain,ESP,"MF,FW",29,1992,18.8,1256,5,86,612,575,40,1256,66,39,59.1,15,22.7,823,4049,1867,50,55,9,30,30,961,103,https://fbref.com/en/players/c05dfb74/Iker-Muniain
2023,Athletic Club,La Liga,Aitor Paredes,ESP,DF,22,2000,9.5,600,53,277,296,30,10,600,1,0,0,1,100,343,1678,895,4,2,0,3,0,377,8,https://fbref.com/en/players/b906757a/Aitor-Paredes
2023,Athletic Club,La Liga,Oihan Sancet,ESP,MF,22,2000,28.1,1269,17,114,623,561,80,1267,83,46,55.4,25,30.1,847,5286,2806,91,71,17,82,61,981,156,https://fbref.com/en/players/bdb624a3/Oihan-Sancet
2023,Athletic Club,La Liga,Unai Simón,ESP,GK,25,1997,30.5,1007,810,1001,7,0,0,1007,0,0,NA,0,NA,598,3166,1823,0,0,0,1,0,480,0,https://fbref.com/en/players/5dcf3e90/Unai-Simon
2023,Athletic Club,La Liga,Unai Vencedor Paris,ESP,MF,21,2000,2.1,149,5,28,93,29,4,149,2,1,50,1,50,76,343,179,2,2,1,4,4,94,3,https://fbref.com/en/players/4112ace5/Unai-Vencedor-Paris
2023,Athletic Club,La Liga,Mikel Vesga,ESP,MF,29,1993,28.6,1800,66,338,1118,355,32,1797,18,10,55.6,8,44.4,962,4175,1995,26,29,4,38,16,1152,31,https://fbref.com/en/players/b0fce72c/Mikel-Vesga
2023,Athletic Club,La Liga,Asier Villalibre,ESP,FW,24,1997,1.1,27,1,1,7,19,7,27,0,0,NA,0,NA,14,48,14,0,0,0,0,2,22,9,https://fbref.com/en/players/57be54ec/Asier-Villalibre
2023,Athletic Club,La Liga,Daniel Vivian,ESP,DF,23,1999,26.4,1719,143,804,857,71,26,1719,11,4,36.4,6,54.5,1028,5804,3819,25,12,0,21,14,1039,5,https://fbref.com/en/players/ab7bf91d/Daniel-Vivian
2023,Athletic Club,La Liga,Iñaki Williams,GHA,FW,28,1994,31.5,1182,38,103,389,707,181,1180,105,47,44.8,48,45.7,756,5180,2721,127,53,57,73,42,915,341,https://fbref.com/en/players/6a99e0b1/Inaki-Williams
2023,Athletic Club,La Liga,Nico Williams,ESP,FW,20,2002,29.5,1382,11,132,376,898,148,1382,200,83,41.5,91,45.5,891,7039,3996,174,69,64,87,45,963,321,https://fbref.com/en/players/afdc14d7/Nico-Williams
2023,Athletic Club,La Liga,Oier Zarraga,ESP,MF,23,1999,9.5,447,7,60,229,168,12,447,7,5,71.4,2,28.6,271,1549,766,12,15,2,6,9,304,32,https://fbref.com/en/players/968a1c2f/Oier-Zarraga
2023,Atlético Madrid,La Liga,Pablo Barrios,ESP,MF,19,2003,8,554,12,106,314,140,12,554,30,15,50,12,40,320,1795,690,16,10,3,15,10,405,27,https://fbref.com/en/players/45736cec/Pablo-Barrios
2023,Atlético Madrid,La Liga,Yannick Carrasco,BEL,"DF,MF",28,1993,25.7,1404,32,230,456,745,160,1403,124,60,48.4,51,41.1,822,6278,3577,146,58,71,52,34,922,264,https://fbref.com/en/players/de39485a/Yannick-Carrasco
2023,Atlético Madrid,La Liga,Ángel Correa,ARG,"FW,MF",27,1995,16.2,738,11,84,283,379,119,738,59,23,39,33,55.9,472,2244,971,44,20,24,58,31,568,142,https://fbref.com/en/players/01eb744d/Angel-Correa
2023,Atlético Madrid,La Liga,Matheus Cunha,BRA,"FW,MF",23,1999,4.2,131,4,17,61,58,22,131,7,6,85.7,1,14.3,74,473,221,6,7,4,9,5,89,19,https://fbref.com/en/players/dc62b55d/Matheus-Cunha
2023,Atlético Madrid,La Liga,Rodrigo De Paul,ARG,MF,28,1994,21.4,1598,14,261,923,425,18,1598,32,16,50,11,34.4,1026,5240,2897,55,41,3,32,15,1279,68,https://fbref.com/en/players/162efffd/Rodrigo-De-Paul
2023,Atlético Madrid,La Liga,Matt Doherty,IRL,DF,30,1992,0.2,11,0,6,3,2,0,11,0,0,NA,0,NA,6,15,5,0,0,0,0,0,6,1,https://fbref.com/en/players/d557d734/Matt-Doherty
2023,Atlético Madrid,La Liga,Felipe,BRA,DF,33,1989,2.2,149,9,56,90,5,2,149,2,1,50,1,50,102,581,332,2,0,0,0,0,98,1,https://fbref.com/en/players/51a3c4c8/Felipe
2023,Atlético Madrid,La Liga,João Félix,POR,"FW,MF",22,1999,7.2,322,3,23,158,142,21,322,24,6,25,14,58.3,211,1078,554,17,16,2,20,12,260,42,https://fbref.com/en/players/8aafd64f/Joao-Felix
2023,Atlético Madrid,La Liga,Antonio Gomis,ESP,GK,19,2003,0.1,3,3,3,0,0,0,3,0,0,NA,0,NA,1,19,7,0,0,0,0,0,0,0,https://fbref.com/en/players/f0f4671c/Antonio-Gomis
2023,Atlético Madrid,La Liga,Ivo Grbić,CRO,GK,26,1996,10.2,361,330,360,1,0,0,361,0,0,NA,0,NA,181,1016,681,0,0,0,0,0,123,0,https://fbref.com/en/players/3f034750/Ivo-Grbic
2023,Atlético Madrid,La Liga,Antoine Griezmann,FRA,"FW,MF",31,1991,31.8,1971,45,247,933,818,153,1970,83,47,56.6,28,33.7,1104,5999,3089,99,66,25,41,35,1445,202,https://fbref.com/en/players/df69b544/Antoine-Griezmann
2023,Atlético Madrid,La Liga,Mario Hermoso,ESP,DF,27,1995,23.4,1717,139,717,840,171,21,1717,22,14,63.6,7,31.8,886,3555,1979,23,16,0,20,9,1145,17,https://fbref.com/en/players/555f3a0b/Mario-Hermoso
2023,Atlético Madrid,La Liga,Koke,ESP,MF,30,1992,28.3,2244,70,542,1337,376,21,2244,22,13,59.1,8,36.4,1246,4448,2069,15,25,0,21,18,1736,37,https://fbref.com/en/players/55126f3b/Koke
2023,Atlético Madrid,La Liga,Geoffrey Kondogbia,CTA,MF,29,1993,11.2,751,29,196,498,66,8,751,10,5,50,2,20,413,1449,637,6,7,1,6,10,511,5,https://fbref.com/en/players/cce181df/Geoffrey-Kondogbia
2023,Atlético Madrid,La Liga,Thomas Lemar,FRA,MF,26,1995,13.9,936,17,148,483,316,23,936,44,21,47.7,15,34.1,607,3165,1620,36,36,3,20,19,744,79,https://fbref.com/en/players/4dbd0916/Thomas-Lemar
2023,Atlético Madrid,La Liga,Marcos Llorente,ESP,"MF,DF",27,1995,18.9,997,35,216,378,415,64,997,27,12,44.4,13,48.1,558,3321,1942,64,45,15,23,11,661,139,https://fbref.com/en/players/02c15616/Marcos-Llorente
2023,Atlético Madrid,La Liga,Reinildo Mandava,MOZ,DF,28,1994,20.6,1297,102,501,658,143,15,1297,24,6,25,12,50,708,3214,1819,28,20,9,20,9,770,41,https://fbref.com/en/players/c20bdcd7/Reinildo-Mandava
2023,Atlético Madrid,La Liga,José María Giménez,URU,DF,27,1995,26.9,1623,277,941,643,50,30,1623,10,6,60,4,40,861,3631,1867,9,5,0,9,1,1041,3,https://fbref.com/en/players/f0da930c/Jose-Maria-Gimenez
2023,Atlético Madrid,La Liga,Carlos Martín,ESP,"FW,MF",20,2002,0.3,14,0,0,9,5,1,14,0,0,NA,0,NA,6,20,8,0,0,0,0,0,9,3,https://fbref.com/en/players/64035864/Carlos-Martin
2023,Atlético Madrid,La Liga,Memphis,NED,FW,28,1994,3,139,0,7,47,86,27,139,11,4,36.4,6,54.5,87,368,181,4,2,4,16,9,122,22,https://fbref.com/en/players/8f696594/Memphis
2023,Atlético Madrid,La Liga,Nahuel Molina,ARG,DF,24,1998,31.9,2229,87,696,833,709,47,2229,51,21,41.2,24,47.1,1080,4854,2929,73,43,9,32,10,1386,249,https://fbref.com/en/players/23610943/Nahuel-Molina
2023,Atlético Madrid,La Liga,Álvaro Morata,ESP,FW,29,1992,21.1,655,29,68,297,299,105,655,41,20,48.8,16,39,387,2142,929,33,19,16,55,24,527,102,https://fbref.com/en/players/129af0db/Alvaro-Morata
2023,Atlético Madrid,La Liga,Saúl Ñíguez,ESP,"MF,DF",27,1994,12.2,695,42,182,336,181,31,695,14,12,85.7,2,14.3,301,1438,621,12,10,4,22,6,447,47,https://fbref.com/en/players/c14bc029/Saul-Niguez
2023,Atlético Madrid,La Liga,Jan Oblak,SVN,GK,29,1993,27.7,861,783,857,4,0,0,861,1,1,100,0,0,416,2241,1218,0,1,1,0,0,345,0,https://fbref.com/en/players/ee8508c0/Jan-Oblak
2023,Atlético Madrid,La Liga,Sergio Reguilón,ESP,DF,25,1996,3.4,178,7,44,72,66,10,178,6,3,50,1,16.7,101,758,444,16,12,5,5,3,115,30,https://fbref.com/en/players/3353737a/Sergio-Reguilon
2023,Atlético Madrid,La Liga,Stefan Savić,MNE,DF,31,1991,21.6,1317,166,647,636,35,6,1317,5,4,80,0,0,777,3967,2536,20,5,1,2,3,892,6,https://fbref.com/en/players/f6ac68c1/Stefan-Savic
2023,Atlético Madrid,La Liga,Axel Witsel,BEL,"DF,MF",33,1989,25.1,1521,168,634,810,82,18,1521,7,6,85.7,1,14.3,949,4096,1965,6,9,0,8,3,1059,11,https://fbref.com/en/players/5dfc6ad5/Axel-Witsel
2023,Barcelona,La Liga,Ángel Alarcón,ESP,"FW,MF",18,2004,0.3,12,1,2,2,8,1,12,1,0,0,0,0,7,32,19,0,0,0,0,1,9,2,https://fbref.com/en/players/455c26a4/Angel-Alarcon
2023,Barcelona,La Liga,Jordi Alba,ESP,DF,33,1989,15.8,1558,34,299,765,506,39,1558,8,4,50,4,50,957,3881,2079,42,27,6,7,7,1121,157,https://fbref.com/en/players/4601e194/Jordi-Alba
2023,Barcelona,La Liga,Marcos Alonso,ESP,DF,31,1990,13,1114,98,402,624,94,11,1114,2,2,100,0,0,727,4516,2674,26,11,0,8,1,816,12,https://fbref.com/en/players/f4290206/Marcos-Alonso
2023,Barcelona,La Liga,Ronald Araújo,URU,DF,23,1999,20,1437,109,487,882,77,29,1437,14,10,71.4,3,21.4,957,5938,3727,29,13,1,9,6,1022,11,https://fbref.com/en/players/2bef2bca/Ronald-Araujo
2023,Barcelona,La Liga,Pierre-Emerick Aubameyang,GAB,FW,33,1989,0.1,4,0,1,2,1,1,4,0,0,NA,0,NA,2,8,1,0,0,0,0,0,2,0,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
