Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Url
2023,Elche,La Liga,Enzo Roco,CHI,DF,29,1992,18.4,0,10,3,30,0.54,0.16,0,0,10.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,https://fbref.com/en/players/37f827ec/Enzo-Roco
2023,Elche,La Liga,Gonzalo Verdú,ESP,DF,33,1988,7.8,1,9,2,22.2,1.15,0.26,0.11,0.5,12.2,1,0,0,0.6,0.6,0.07,0.4,0.4,https://fbref.com/en/players/1c2c55fc/Gonzalo-Verdu
2023,Elche,La Liga,Axel Werner,ARG,GK,26,1996,2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/c0b1a6da/Axel-Werner
2023,Espanyol,La Liga,Keidi Bare,ALB,MF,24,1997,5.6,0,5,3,60,0.89,0.54,0,0,17.9,0,0,0,0.6,0.6,0.12,-0.6,-0.6,https://fbref.com/en/players/03049c8c/Keidi-Bare
2023,Espanyol,La Liga,Martin Braithwaite,DEN,"FW,MF",31,1991,27.3,10,58,25,43.1,2.13,0.92,0.17,0.4,16,4,0,0,9.2,9.2,0.16,0.8,0.8,https://fbref.com/en/players/fd771f95/Martin-Braithwaite
2023,Espanyol,La Liga,Leandro Cabrera,URU,DF,31,1991,29.7,0,23,6,26.1,0.78,0.2,0,0,11.2,0,0,0,2.3,2.3,0.1,-2.3,-2.3,https://fbref.com/en/players/69cbc8b6/Leandro-Cabrera
2023,Espanyol,La Liga,Fernando Calero,ESP,"DF,MF",26,1995,17.9,0,7,2,28.6,0.39,0.11,0,0,9.1,0,0,0,0.7,0.7,0.1,-0.7,-0.7,https://fbref.com/en/players/41b3069f/Fernando-Calero
2023,Espanyol,La Liga,José Carlos Lazo,ESP,"MF,FW",26,1996,1.8,1,4,1,25,2.26,0.57,0.25,1,21.1,1,0,0,0.2,0.2,0.06,0.8,0.8,https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo
2023,Espanyol,La Liga,Sergi Darder,ESP,MF,28,1993,36.9,6,39,13,33.3,1.06,0.35,0.15,0.46,22.6,0,0,0,3.5,3.5,0.09,2.5,2.5,https://fbref.com/en/players/070a3904/Sergi-Darder
2023,Espanyol,La Liga,Adri Embarba,ESP,FW,30,1992,0.4,0,2,0,0,5.14,0,0,NA,29.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,https://fbref.com/en/players/db8f0eba/Adri-Embarba
2023,Espanyol,La Liga,Edu Expósito,ESP,MF,25,1996,12.9,2,19,7,36.8,1.47,0.54,0.11,0.29,24.7,2,0,0,0.9,0.9,0.05,1.1,1.1,https://fbref.com/en/players/283c7121/Edu-Exposito
2023,Espanyol,La Liga,Álvaro Fernández,ESP,GK,24,1998,11,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/f127d782/Alvaro-Fernandez
2023,Espanyol,La Liga,Joan García,ESP,GK,21,2001,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/87b498b0/Joan-Garcia
2023,Espanyol,La Liga,Óscar Gil,ESP,DF,25,1997,28.4,0,11,2,18.2,0.39,0.07,0,0,18.9,0,0,0,0.6,0.6,0.05,-0.6,-0.6,https://fbref.com/en/players/6652cf96/Oscar-Gil
2023,Espanyol,La Liga,Dani Gómez,ESP,"MF,FW",24,1998,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/0e5ddc7c/Dani-Gomez
2023,Espanyol,La Liga,Sergi Gómez,ESP,DF,30,1992,26,0,9,4,44.4,0.35,0.15,0,0,12.8,0,0,0,0.9,0.9,0.1,-0.9,-0.9,https://fbref.com/en/players/bc6f5f06/Sergi-Gomez
