Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Url
2024,Celta Vigo,La Liga,team,31,38,45,467,151,32.3,12.29,3.97,0.09,0.28,17.5,14,3,5,50.7,46.9,0.1,-5.7,-4.9,https://fbref.com/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
2024,Celta Vigo,La Liga,opponent,31,38,54,470,157,33.4,12.37,4.13,0.1,0.31,16.6,13,6,8,54.6,48.4,0.11,-0.6,-0.4,https://fbref.com/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
2024,Cádiz,La Liga,team,34,38,25,395,120,30.4,10.39,3.16,0.06,0.18,18.4,21,3,3,36,33.6,0.09,-11,-11.6,https://fbref.com/en/squads/ee7c297c/2023-2024/Cadiz-Stats
2024,Cádiz,La Liga,opponent,34,38,54,508,173,34.1,13.37,4.55,0.1,0.3,18.3,26,2,2,52.3,50.7,0.1,1.7,1.3,https://fbref.com/en/squads/ee7c297c/2023-2024/Cadiz-Stats
2024,Getafe,La Liga,team,33,38,42,446,150,33.6,11.74,3.95,0.08,0.24,18.6,14,6,7,45.7,40.2,0.09,-3.7,-4.2,https://fbref.com/en/squads/7848bd64/2023-2024/Getafe-Stats
2024,Getafe,La Liga,opponent,33,38,54,448,167,37.3,11.79,4.39,0.11,0.29,17.7,15,5,7,53.8,48.3,0.11,0.2,0.7,https://fbref.com/en/squads/7848bd64/2023-2024/Getafe-Stats
2024,Girona,La Liga,team,25,38,84,476,178,37.4,12.53,4.68,0.16,0.43,16.4,13,7,8,70.8,64.6,0.14,13.2,12.4,https://fbref.com/en/squads/9024a00a/2023-2024/Girona-Stats
2024,Girona,La Liga,opponent,25,38,46,503,162,32.2,13.24,4.26,0.08,0.25,17.5,13,5,7,54.3,48.9,0.1,-8.3,-7.9,https://fbref.com/en/squads/9024a00a/2023-2024/Girona-Stats
2024,Granada,La Liga,team,40,38,35,394,123,31.2,10.37,3.24,0.08,0.24,17.8,15,5,8,42.6,36.4,0.09,-7.6,-6.4,https://fbref.com/en/squads/a0435291/2023-2024/Granada-Stats
2024,Granada,La Liga,opponent,40,38,77,488,198,40.6,12.84,5.21,0.15,0.36,17.5,20,5,6,64.2,59.5,0.12,12.8,12.5,https://fbref.com/en/squads/a0435291/2023-2024/Granada-Stats
2024,Las Palmas,La Liga,team,29,38,33,386,120,31.1,10.16,3.16,0.08,0.25,20.1,21,3,5,33.2,29.2,0.08,-0.2,0.8,https://fbref.com/en/squads/0049d422/2023-2024/Las-Palmas-Stats
2024,Las Palmas,La Liga,opponent,29,38,44,433,148,34.2,11.39,3.89,0.09,0.26,17.4,15,5,9,56.6,49.7,0.12,-12.6,-10.7,https://fbref.com/en/squads/0049d422/2023-2024/Las-Palmas-Stats
2024,Mallorca,La Liga,team,25,38,33,415,131,31.6,10.92,3.45,0.08,0.24,16.8,4,1,3,40.5,38.2,0.09,-7.5,-6.2,https://fbref.com/en/squads/2aa12281/2023-2024/Mallorca-Stats
2024,Mallorca,La Liga,opponent,25,38,43,474,143,30.2,12.47,3.76,0.08,0.27,19.6,30,4,5,42.9,39,0.08,0.1,0,https://fbref.com/en/squads/2aa12281/2023-2024/Mallorca-Stats
2024,Osasuna,La Liga,team,29,38,45,421,124,29.5,11.08,3.26,0.1,0.33,17.9,14,4,5,40.5,36.6,0.09,4.5,4.4,https://fbref.com/en/squads/03c57e2b/2023-2024/Osasuna-Stats
2024,Osasuna,La Liga,opponent,29,38,56,436,150,34.4,11.47,3.95,0.13,0.37,16.7,15,1,2,49.9,48.5,0.11,6.1,6.5,https://fbref.com/en/squads/03c57e2b/2023-2024/Osasuna-Stats
2024,Rayo Vallecano,La Liga,team,26,38,29,487,160,32.9,12.82,4.21,0.05,0.14,20.8,47,6,6,42.3,37.7,0.08,-13.3,-14.7,https://fbref.com/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
2024,Rayo Vallecano,La Liga,opponent,26,38,46,441,149,33.8,11.61,3.92,0.1,0.3,17.4,12,1,2,44.6,43.1,0.1,1.4,1.9,https://fbref.com/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
2024,Real Madrid,La Liga,team,27,38,85,593,242,40.8,15.61,6.37,0.14,0.34,17.5,24,2,5,68.8,65.2,0.11,16.2,17.8,https://fbref.com/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
2024,Real Madrid,La Liga,opponent,27,38,25,392,117,29.8,10.32,3.08,0.06,0.21,17.9,7,1,1,35.4,34.7,0.09,-10.4,-10.7,https://fbref.com/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
2024,Real Sociedad,La Liga,team,31,38,48,457,147,32.2,12.03,3.87,0.1,0.3,17.8,24,4,4,44.9,41.8,0.09,3.1,2.2,https://fbref.com/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
2024,Real Sociedad,La Liga,opponent,31,38,38,388,128,33,10.21,3.37,0.08,0.25,18,24,6,7,41.3,36,0.1,-3.3,-4,https://fbref.com/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
2024,Sevilla,La Liga,team,35,38,46,487,160,32.9,12.82,4.21,0.09,0.28,17.5,15,2,2,44.9,43.3,0.09,1.1,0.7,https://fbref.com/en/squads/ad2be733/2023-2024/Sevilla-Stats
2024,Sevilla,La Liga,opponent,35,38,52,496,170,34.3,13.05,4.47,0.09,0.28,17.6,16,5,5,55.9,52.1,0.11,-3.9,-5.1,https://fbref.com/en/squads/ad2be733/2023-2024/Sevilla-Stats
2024,Valencia,La Liga,team,29,38,39,368,123,33.4,9.68,3.24,0.08,0.25,18.7,16,8,9,43.1,36.2,0.1,-4.1,-5.2,https://fbref.com/en/squads/dcc91a7b/2023-2024/Valencia-Stats
2024,Valencia,La Liga,opponent,29,38,43,407,154,37.8,10.71,4.05,0.1,0.26,17.2,22,3,6,47.6,42.9,0.11,-4.6,-2.9,https://fbref.com/en/squads/dcc91a7b/2023-2024/Valencia-Stats
2024,Villarreal,La Liga,team,32,38,64,462,163,35.3,12.16,4.29,0.13,0.36,16.2,8,5,7,55.6,50.1,0.11,8.4,8.9,https://fbref.com/en/squads/2a8183b3/2023-2024/Villarreal-Stats
2024,Villarreal,La Liga,opponent,32,38,64,580,208,35.9,15.26,5.47,0.1,0.28,17.6,21,6,6,58.7,54,0.09,5.3,4,https://fbref.com/en/squads/2a8183b3/2023-2024/Villarreal-Stats
