Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2023,Girona,La Liga,Bernardo Espinosa,COL,DF,33,1989,13.6,6,2,2,4,0,3,9,33.3,6,17,10,7,12,18,70,2,https://fbref.com/en/players/4242011c/Bernardo-Espinosa
2023,Girona,La Liga,Valery Fernández,ESP,"MF,DF",22,1999,10.7,12,6,4,6,2,5,9,55.6,4,8,1,7,10,22,9,1,https://fbref.com/en/players/4acd733a/Valery-Fernandez
2023,Girona,La Liga,Aleix García,ESP,MF,25,1997,26,37,20,9,18,10,15,33,45.5,18,24,8,16,31,68,35,1,https://fbref.com/en/players/a10361d2/Aleix-Garcia
2023,Girona,La Liga,Borja García,ESP,"MF,FW",31,1990,7.5,10,4,7,2,1,2,9,22.2,7,3,1,2,5,15,6,1,https://fbref.com/en/players/e7f4603c/Borja-Garcia
2023,Girona,La Liga,Paulo Gazzaniga,ARG,GK,30,1992,28,0,0,0,0,0,0,1,0,1,0,0,0,1,1,9,5,https://fbref.com/en/players/63d17038/Paulo-Gazzaniga
2023,Girona,La Liga,Miguel Gutiérrez,ESP,DF,21,2001,26.6,41,23,23,13,5,23,37,62.2,14,23,5,18,18,59,42,1,https://fbref.com/en/players/7e98cff1/Miguel-Gutierrez
2023,Girona,La Liga,Javi Hernández,ESP,DF,24,1998,12.4,21,12,12,7,2,13,21,61.9,8,10,5,5,7,28,38,0,https://fbref.com/en/players/9a76c2e9/Javi-Hernandez
2023,Girona,La Liga,Yangel Herrera,VEN,"MF,FW",24,1998,10.7,26,9,9,14,3,6,15,40,9,14,1,13,4,30,12,0,https://fbref.com/en/players/5083a734/Yangel-Herrera
2023,Girona,La Liga,Juanpe,ESP,DF,31,1991,15.8,19,11,10,9,0,11,17,64.7,6,12,9,3,10,29,60,1,https://fbref.com/en/players/1633fc8a/Juanpe
2023,Girona,La Liga,David López,ESP,DF,32,1989,18.4,31,18,17,13,1,19,27,70.4,8,29,19,10,14,45,64,1,https://fbref.com/en/players/f03f284b/David-Lopez
2023,Girona,La Liga,Iván Martín,ESP,MF,23,1999,17.6,9,7,4,4,1,8,23,34.8,15,12,0,12,9,18,12,0,https://fbref.com/en/players/ae48c5cb/Ivan-Martin
2023,Girona,La Liga,Arnau Martinez,ESP,DF,19,2003,30.4,69,45,41,19,9,38,85,44.7,47,44,10,34,25,94,54,2,https://fbref.com/en/players/c3e66ffe/Arnau-Martinez
2023,Girona,La Liga,Reinier,BRA,"MF,FW",20,2002,7.2,12,10,7,3,2,2,8,25,6,6,0,6,5,17,4,0,https://fbref.com/en/players/6b21b7b5/Reinier
2023,Girona,La Liga,Rodrigo Riquelme,ESP,"MF,FW",22,2000,24.2,20,8,8,8,4,9,35,25.7,26,16,0,16,11,31,5,0,https://fbref.com/en/players/65154df0/Rodrigo-Riquelme
2023,Girona,La Liga,Joel Roca,ESP,"MF,FW",17,2005,0.9,2,2,2,0,0,2,5,40,3,1,1,0,0,2,1,0,https://fbref.com/en/players/5f21b94c/Joel-Roca
2023,Girona,La Liga,Oriol Romeu,ESP,MF,30,1991,32.8,70,38,36,26,8,26,51,51,25,48,10,38,37,107,54,0,https://fbref.com/en/players/4b511457/Oriol-Romeu
2023,Girona,La Liga,Samuel Sáiz,ESP,MF,31,1991,2.7,2,2,0,2,0,1,2,50,1,3,0,3,0,2,1,1,https://fbref.com/en/players/13e0eb29/Samuel-Saiz
2023,Girona,La Liga,Cristhian Stuani,URU,FW,35,1986,12.1,13,6,2,7,4,5,14,35.7,9,10,0,10,2,15,5,0,https://fbref.com/en/players/220c11f1/Cristhian-Stuani
2023,Girona,La Liga,Ramón Terrats,ESP,MF,21,2000,2.4,4,2,1,3,0,2,6,33.3,4,6,2,4,3,7,3,1,https://fbref.com/en/players/f36016a5/Ramon-Terrats
2023,Girona,La Liga,Viktor Tsyhankov,UKR,MF,24,1997,16.5,8,8,5,1,2,1,14,7.1,13,13,2,11,7,15,12,0,https://fbref.com/en/players/f7e87032/Viktor-Tsyhankov
2023,Girona,La Liga,Oscar Ureña,DOM,MF,19,2003,1.1,4,2,2,2,0,2,3,66.7,1,2,0,2,1,5,0,0,https://fbref.com/en/players/2dd7e29d/Oscar-Urena
2023,Girona,La Liga,Manu Vallejo,ESP,"FW,MF",25,1997,2.3,4,1,1,2,1,1,6,16.7,5,2,0,2,1,5,3,0,https://fbref.com/en/players/0bc4e720/Manu-Vallejo
2023,Girona,La Liga,Toni Villa,ESP,"MF,FW",27,1995,9.9,25,18,9,11,5,10,23,43.5,13,8,0,8,8,33,3,0,https://fbref.com/en/players/636eae97/Toni-Villa
2023,Mallorca,La Liga,Amath,SEN,"MF,FW",26,1996,13.6,29,19,14,8,7,14,22,63.6,8,13,1,12,5,34,5,0,https://fbref.com/en/players/f3b1d9a2/Amath
2023,Mallorca,La Liga,Josep Antoni Gayá,ESP,"DF,MF",22,2000,1.1,0,0,0,0,0,0,0,NA,0,4,2,2,1,1,6,0,https://fbref.com/en/players/4a5f2032/Josep-Antoni-Gaya
2023,Mallorca,La Liga,Ludwig Augustinsson,SWE,DF,28,1994,1.5,2,1,2,0,0,1,3,33.3,2,1,0,1,1,3,3,0,https://fbref.com/en/players/9fec8860/Ludwig-Augustinsson
2023,Mallorca,La Liga,Iddrisu Baba,GHA,"MF,DF",26,1996,18.9,31,17,15,16,0,15,32,46.9,17,18,8,10,11,42,39,0,https://fbref.com/en/players/bfd381b3/Iddrisu-Baba
2023,Mallorca,La Liga,Rodrigo Battaglia,ARG,MF,31,1991,7.6,12,5,7,5,0,6,14,42.9,8,16,7,9,5,17,18,0,https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia
2023,Mallorca,La Liga,Copete,ESP,DF,22,1999,24.5,53,28,35,16,2,26,36,72.2,10,38,17,21,44,97,111,2,https://fbref.com/en/players/0f26ffd7/Copete
2023,Mallorca,La Liga,Jaume Costa,ESP,DF,34,1988,28.9,50,34,26,17,7,29,51,56.9,22,13,5,8,22,72,44,1,https://fbref.com/en/players/808d48f3/Jaume-Costa
2023,Mallorca,La Liga,Braian Cufré,ARG,DF,25,1996,2.4,5,2,2,1,2,2,5,40,3,2,1,1,2,7,1,0,https://fbref.com/en/players/192c89a6/Braian-Cufre
2023,Mallorca,La Liga,Iñigo Ruiz de Galarreta,ESP,MF,28,1993,27.2,54,38,27,23,4,20,52,38.5,32,26,9,17,30,84,19,0,https://fbref.com/en/players/91f7631f/Inigo-Ruiz-de-Galarreta
2023,Mallorca,La Liga,Giovanni González,URU,DF,27,1994,10.3,16,8,11,2,3,9,22,40.9,13,8,2,6,7,23,22,0,https://fbref.com/en/players/1fc474ae/Giovanni-Gonzalez
2023,Mallorca,La Liga,Dominik Greif,SVK,GK,25,1997,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/30061f53/Dominik-Greif
2023,Mallorca,La Liga,Clément Grenier,FRA,MF,31,1991,8,20,8,6,12,2,10,20,50,10,9,1,8,6,26,7,0,https://fbref.com/en/players/8b298f56/Clement-Grenier
2023,Mallorca,La Liga,Dennis Hadzikadunic,BIH,DF,24,1998,6.8,9,6,4,5,0,4,4,100,0,5,4,1,3,12,27,0,https://fbref.com/en/players/82cfae2a/Dennis-Hadzikadunic
2023,Mallorca,La Liga,Lago Junior,CIV,"FW,MF",31,1990,0.6,1,0,0,1,0,1,1,100,0,0,0,0,0,1,0,0,https://fbref.com/en/players/360d70f8/Lago-Junior
2023,Mallorca,La Liga,Tino Kadewere,ZIM,"FW,MF",26,1996,6,6,3,3,3,0,4,9,44.4,5,6,2,4,2,8,1,0,https://fbref.com/en/players/7d08063d/Tino-Kadewere
2023,Mallorca,La Liga,Lee Kang-in,KOR,"MF,FW",21,2001,31.4,42,24,10,22,10,18,61,29.5,43,25,2,23,11,53,7,0,https://fbref.com/en/players/8455ad90/Lee-Kang-in
2023,Mallorca,La Liga,Javier Llabrés,ESP,FW,19,2002,0.2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,https://fbref.com/en/players/38b0cf42/Javier-Llabres
2023,Mallorca,La Liga,Pablo Maffeo,ESP,DF,25,1997,33.1,75,46,54,16,5,45,78,57.7,33,38,11,27,26,101,76,0,https://fbref.com/en/players/5db04597/Pablo-Maffeo
2023,Mallorca,La Liga,Manu Morlanes,ESP,MF,23,1999,7.8,22,9,12,8,2,13,24,54.2,11,10,5,5,5,27,9,0,https://fbref.com/en/players/a0255c67/Manu-Morlanes
2023,Mallorca,La Liga,Vedat Muriqi,KVX,FW,28,1994,32.6,12,7,4,7,1,3,13,23.1,10,19,7,12,12,24,73,0,https://fbref.com/en/players/0cadc46d/Vedat-Muriqi
2023,Mallorca,La Liga,Matija Nastasić,SRB,DF,29,1993,10.1,10,8,7,1,2,3,6,50,3,11,4,7,18,28,43,1,https://fbref.com/en/players/f35430a4/Matija-Nastasic
2023,Mallorca,La Liga,Abdón Prats,ESP,"FW,MF",29,1992,4.6,1,0,1,0,0,0,0,NA,0,5,0,5,0,1,2,0,https://fbref.com/en/players/d1b060e2/Abdon-Prats
2023,Mallorca,La Liga,Rubén Quintanilla,ESP,DF,20,2002,0,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0,https://fbref.com/en/players/2f456b86/Ruben-Quintanilla
2023,Mallorca,La Liga,Antonio Raillo,ESP,DF,30,1991,30.7,34,21,23,11,0,10,15,66.7,5,38,29,9,31,65,158,1,https://fbref.com/en/players/b857bd29/Antonio-Raillo
2023,Mallorca,La Liga,Predrag Rajković,SRB,GK,26,1995,36,0,0,0,0,0,0,2,0,2,0,0,0,0,0,16,1,https://fbref.com/en/players/58ad9383/Predrag-Rajkovic
2023,Mallorca,La Liga,Ángel Rodríguez,ESP,"FW,MF",35,1987,4.4,1,1,0,1,0,0,2,0,2,3,0,3,1,2,1,0,https://fbref.com/en/players/8cfc2f69/Angel-Rodriguez
2023,Mallorca,La Liga,Dani Rodríguez,ESP,MF,34,1988,23.3,42,23,18,22,2,21,46,45.7,25,31,8,23,21,63,14,0,https://fbref.com/en/players/70f8e0bd/Dani-Rodriguez
2023,Mallorca,La Liga,Leo Román,ESP,GK,22,2000,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/924ff27e/Leo-Roman
2023,Mallorca,La Liga,Franco Russo,ARG,DF,27,1994,1.6,2,1,2,0,0,0,1,0,1,5,0,5,3,5,5,0,https://fbref.com/en/players/b75ac54b/Franco-Russo
2023,Mallorca,La Liga,Antonio Sánchez,ESP,"MF,DF",25,1997,12,19,8,13,4,2,10,34,29.4,24,18,0,18,22,41,14,1,https://fbref.com/en/players/a254bbe0/Antonio-Sanchez
2023,Mallorca,La Liga,Martin Valjent,SVK,DF,26,1995,29.5,35,27,22,12,1,19,28,67.9,9,39,21,18,29,64,137,0,https://fbref.com/en/players/f2c6ac01/Martin-Valjent
2023,Osasuna,La Liga,Ezequiel Ávila,ARG,"FW,MF",28,1994,19,8,5,2,4,2,6,23,26.1,17,12,1,11,8,16,16,0,https://fbref.com/en/players/253a06b9/Ezequiel-Avila
2023,Osasuna,La Liga,Kike Barja,ESP,"FW,MF",25,1997,14.6,15,9,6,5,4,8,24,33.3,16,7,0,7,4,19,3,0,https://fbref.com/en/players/aad53e64/Kike-Barja
2023,Osasuna,La Liga,Iker Benito,ESP,"FW,MF",19,2002,2,4,3,0,3,1,2,4,50,2,0,0,0,2,6,4,0,https://fbref.com/en/players/50cbc806/Iker-Benito
2023,Osasuna,La Liga,Darko Brašanac,SRB,MF,30,1992,11.6,29,20,12,10,7,12,23,52.2,11,14,2,12,12,41,9,0,https://fbref.com/en/players/4accb7e0/Darko-Brasanac
2023,Osasuna,La Liga,Ante Budimir,CRO,FW,31,1991,20,19,9,0,12,7,2,10,20,8,10,0,10,5,24,19,0,https://fbref.com/en/players/8f3565b3/Ante-Budimir
2023,Osasuna,La Liga,Juan Cruz Armada,ESP,DF,30,1992,22.9,24,14,17,4,3,13,23,56.5,10,21,8,13,13,37,58,0,https://fbref.com/en/players/a56da3ba/Juan-Cruz-Armada
2023,Osasuna,La Liga,Abde Ezzalzouli,MAR,"FW,MF",20,2001,16.7,29,19,13,12,4,13,23,56.5,10,20,0,20,4,33,6,0,https://fbref.com/en/players/bed68338/Abde-Ezzalzouli
2023,Osasuna,La Liga,Aitor Fernández,ESP,GK,31,1991,21,1,1,1,0,0,0,1,0,1,0,0,0,2,3,17,0,https://fbref.com/en/players/a01c3d54/Aitor-Fernandez
2023,Osasuna,La Liga,David García,ESP,DF,28,1994,29.8,34,20,22,12,0,19,22,86.4,3,28,13,15,45,79,151,0,https://fbref.com/en/players/3e42f707/David-Garcia
2023,Osasuna,La Liga,Rubén García,ESP,"FW,MF",29,1993,12.9,20,11,12,4,4,7,24,29.2,17,14,1,13,12,32,13,0,https://fbref.com/en/players/5c96b017/Ruben-Garcia
2023,Osasuna,La Liga,Unai García,ESP,DF,30,1992,19,23,13,13,8,2,12,17,70.6,5,23,14,9,19,42,60,2,https://fbref.com/en/players/4a633cfe/Unai-Garcia
2023,Osasuna,La Liga,Moi Gómez,ESP,"MF,FW",28,1994,27.3,26,17,9,14,3,15,32,46.9,17,15,3,12,10,36,5,1,https://fbref.com/en/players/5a626448/Moi-Gomez
2023,Osasuna,La Liga,Aridane Hernández,ESP,DF,33,1989,19.9,21,15,17,4,0,12,25,48,13,34,21,13,28,49,96,1,https://fbref.com/en/players/132ac341/Aridane-Hernandez
2023,Osasuna,La Liga,Jorge Herrando,ESP,DF,21,2001,0.3,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,3,0,https://fbref.com/en/players/e19c989c/Jorge-Herrando
2023,Osasuna,La Liga,Sergio Herrera,ESP,GK,29,1993,17,2,0,2,0,0,2,2,100,0,1,0,1,1,3,6,2,https://fbref.com/en/players/a4995f48/Sergio-Herrera
2023,Osasuna,La Liga,Pablo Ibáñez,ESP,MF,23,1998,11.8,29,13,7,17,5,12,35,34.3,23,19,2,17,8,37,24,0,https://fbref.com/en/players/3701906c/Pablo-Ibanez
2023,Osasuna,La Liga,Kiké,ESP,FW,32,1989,11.3,6,3,0,4,2,2,5,40,3,6,1,5,1,7,13,0,https://fbref.com/en/players/e897d8ba/Kike
2023,Osasuna,La Liga,Jon Moncayola,ESP,"MF,DF",24,1998,27.2,55,39,24,22,9,30,76,39.5,46,37,5,32,17,72,32,2,https://fbref.com/en/players/9939e168/Jon-Moncayola
2023,Osasuna,La Liga,Diego Moreno,ESP,DF,21,2001,7.1,4,4,2,2,0,3,8,37.5,5,7,4,3,5,9,21,0,https://fbref.com/en/players/a21417e2/Diego-Moreno
2023,Osasuna,La Liga,Iker Muñoz,ESP,MF,19,2002,2.8,1,0,0,1,0,0,3,0,3,2,1,1,3,4,8,0,https://fbref.com/en/players/175ece4c/Iker-Munoz
2023,Osasuna,La Liga,Aimar Oroz,ESP,"MF,FW",20,2001,22.4,26,14,8,10,8,8,30,26.7,22,24,1,23,24,50,6,0,https://fbref.com/en/players/7c363088/Aimar-Oroz
2023,Osasuna,La Liga,Rubén Peña,ESP,"DF,MF",31,1991,14.2,32,18,10,18,4,20,41,48.8,21,23,8,15,17,49,31,0,https://fbref.com/en/players/1f079188/Ruben-Pena
2023,Osasuna,La Liga,Manu Sánchez,ESP,DF,21,2000,23.6,51,35,35,9,7,33,63,52.4,30,33,5,28,14,65,51,0,https://fbref.com/en/players/ffacd3d5/Manu-Sanchez
2023,Osasuna,La Liga,Roberto Torres,ESP,"FW,MF",33,1989,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/d733aa38/Roberto-Torres
2023,Osasuna,La Liga,Lucas Torró,ESP,MF,28,1994,27.5,48,32,28,15,5,18,42,42.9,24,24,3,21,42,90,64,1,https://fbref.com/en/players/0e4fef6e/Lucas-Torro
2023,Osasuna,La Liga,Nacho Vidal,ESP,DF,27,1995,13.9,27,14,16,6,5,17,32,53.1,15,17,4,13,19,46,33,1,https://fbref.com/en/players/3a9c4b7b/Nacho-Vidal
2023,Rayo Vallecano,La Liga,Iván Balliu,ALB,DF,30,1992,35.9,52,29,26,20,6,18,30,60,12,26,3,23,25,77,72,1,https://fbref.com/en/players/cee88597/Ivan-Balliu
2023,Rayo Vallecano,La Liga,Bebé,CPV,FW,32,1990,0.7,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,https://fbref.com/en/players/d8712bf9/Bebe
2023,Rayo Vallecano,La Liga,Sergio Camello,ESP,FW,21,2001,26.7,16,10,3,9,4,5,17,29.4,12,9,1,8,2,18,26,0,https://fbref.com/en/players/873619c6/Sergio-Camello
2023,Rayo Vallecano,La Liga,Catena,ESP,DF,27,1994,34.5,29,14,23,4,2,13,27,48.1,14,32,25,7,28,57,159,1,https://fbref.com/en/players/274ab13c/Catena
2023,Rayo Vallecano,La Liga,Pep Chavarría,ESP,"FW,MF",24,1998,4.1,6,4,2,1,3,1,5,20,4,8,0,8,2,8,8,0,https://fbref.com/en/players/63c5e56b/Pep-Chavarria
2023,Rayo Vallecano,La Liga,Pathé Ciss,SEN,"MF,DF",28,1994,14.2,39,29,11,23,5,15,34,44.1,19,23,10,13,22,61,34,0,https://fbref.com/en/players/9a0408b6/Pathe-Ciss
2023,Rayo Vallecano,La Liga,Santi Comesaña,ESP,MF,25,1996,27.2,71,44,24,41,6,38,82,46.3,44,39,3,36,32,103,17,0,https://fbref.com/en/players/5ae499d0/Santi-Comesana
2023,Rayo Vallecano,La Liga,Stole Dimitrievski,MKD,GK,28,1993,36.9,1,0,1,0,0,1,2,50,1,2,0,2,1,2,17,3,https://fbref.com/en/players/fc70e345/Stole-Dimitrievski
2023,Rayo Vallecano,La Liga,Radamel Falcao,COL,"FW,MF",36,1986,6.8,4,4,1,3,0,1,8,12.5,7,5,1,4,2,6,10,0,https://fbref.com/en/players/66116290/Radamel-Falcao
2023,Rayo Vallecano,La Liga,Álvaro García,ESP,"FW,MF",29,1992,31.9,49,28,21,13,15,11,33,33.3,22,41,4,37,34,83,24,1,https://fbref.com/en/players/90bbd822/Alvaro-Garcia
2023,Rayo Vallecano,La Liga,Fran Garcia,ESP,DF,22,1999,37.9,84,54,53,23,8,55,96,57.3,41,49,8,41,44,128,66,0,https://fbref.com/en/players/7226539b/Fran-Garcia
2023,Rayo Vallecano,La Liga,Mario Hernández,ESP,DF,23,1999,1.1,3,2,2,1,0,3,7,42.9,4,2,0,2,2,5,0,0,https://fbref.com/en/players/90162357/Mario-Hernandez
2023,Rayo Vallecano,La Liga,Florian Lejeune,FRA,DF,31,1991,28.5,28,17,19,8,1,17,25,68,8,24,16,8,15,43,123,0,https://fbref.com/en/players/6eaed4eb/Florian-Lejeune
2023,Rayo Vallecano,La Liga,Diego López,ESP,GK,40,1981,1.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,https://fbref.com/en/players/73683fa9/Diego-Lopez
2023,Rayo Vallecano,La Liga,Unai López,ESP,MF,26,1995,13.9,32,20,10,17,5,13,37,35.1,24,12,1,11,15,47,6,1,https://fbref.com/en/players/88050721/Unai-Lopez
2023,Rayo Vallecano,La Liga,Andrés Martín,ESP,"FW,MF",23,1999,2.3,4,2,2,1,1,3,5,60,2,2,0,2,1,5,2,0,https://fbref.com/en/players/2ae30661/Andres-Martin
2023,Rayo Vallecano,La Liga,Diego Méndez,ESP,MF,18,2003,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0,https://fbref.com/en/players/b151a3f2/Diego-Mendez
2023,Rayo Vallecano,La Liga,Abdul Mumin,GHA,DF,24,1998,10.2,11,9,5,6,0,3,7,42.9,4,13,5,8,9,20,36,2,https://fbref.com/en/players/5487adcd/Abdul-Mumin
2023,Rayo Vallecano,La Liga,Pablo Muñoz,ESP,MF,18,2003,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,https://fbref.com/en/players/44e8521b/Pablo-Munoz
2023,Rayo Vallecano,La Liga,Randy Nteka,ANG,"FW,MF",24,1997,1.3,4,2,2,2,0,1,1,100,0,2,0,2,2,6,3,0,https://fbref.com/en/players/a6103274/Randy-Nteka
2023,Rayo Vallecano,La Liga,Isaac Palazón Camacho,ESP,"FW,MF",27,1994,32.9,45,30,11,23,11,24,66,36.4,42,42,3,39,17,62,30,0,https://fbref.com/en/players/49dbab27/Isaac-Palazon-Camacho
2023,Rayo Vallecano,La Liga,José Pozo,ESP,"MF,FW",26,1996,1,2,2,0,2,0,0,0,NA,0,0,0,0,1,3,1,0,https://fbref.com/en/players/fc8b614b/Jose-Pozo
2023,Rayo Vallecano,La Liga,Salvi,ESP,"FW,MF",31,1991,5.4,13,8,5,5,3,2,8,25,6,0,0,0,2,15,2,0,https://fbref.com/en/players/405f267a/Salvi
2023,Rayo Vallecano,La Liga,Esteban Saveljich,MNE,FW,31,1991,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/79f2a5f5/Esteban-Saveljich
2023,Rayo Vallecano,La Liga,Mario Suárez,ESP,"MF,DF",35,1987,0.1,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0,https://fbref.com/en/players/7106f0a0/Mario-Suarez
2023,Rayo Vallecano,La Liga,Raúl de Tomás,ESP,FW,27,1994,8.9,3,2,0,1,2,2,6,33.3,4,4,0,4,0,3,6,0,https://fbref.com/en/players/02ef8778/Raul-de-Tomas
2023,Rayo Vallecano,La Liga,Óscar Trejo,ARG,"MF,FW",34,1988,23.8,48,32,12,23,13,9,44,20.5,35,31,3,28,8,56,8,1,https://fbref.com/en/players/fc647b34/Oscar-Trejo
2023,Rayo Vallecano,La Liga,Óscar Valentín,ESP,MF,27,1994,28.4,92,51,29,50,13,46,121,38,75,60,9,51,44,136,30,0,https://fbref.com/en/players/592f3158/Oscar-Valentin
2023,Real Madrid,La Liga,David Alaba,AUT,DF,30,1992,20.4,15,11,8,4,3,9,15,60,6,18,9,9,14,29,37,1,https://fbref.com/en/players/05439de2/David-Alaba
2023,Real Madrid,La Liga,Sergio Arribas,ESP,"MF,FW",20,2001,0.2,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0,https://fbref.com/en/players/1e465e70/Sergio-Arribas
2023,Real Madrid,La Liga,Marco Asensio,ESP,"FW,MF",26,1996,16,16,10,8,6,2,8,19,42.1,11,8,3,5,5,21,4,0,https://fbref.com/en/players/45af8a54/Marco-Asensio
2023,Real Madrid,La Liga,Karim Benzema,FRA,FW,34,1987,22.6,9,5,2,4,3,2,11,18.2,9,11,0,11,2,11,5,0,https://fbref.com/en/players/70d74ece/Karim-Benzema
2023,Real Madrid,La Liga,Eduardo Camavinga,FRA,"MF,DF",19,2002,22.3,68,48,32,21,15,24,64,37.5,40,24,5,19,17,85,25,0,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga
2023,Real Madrid,La Liga,Dani Carvajal,ESP,DF,30,1992,19.8,32,18,15,12,5,18,35,51.4,17,24,6,18,15,47,49,0,https://fbref.com/en/players/4958bfb2/Dani-Carvajal
2023,Real Madrid,La Liga,Casemiro,BRA,MF,30,1992,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,https://fbref.com/en/players/4d224fe8/Casemiro
2023,Real Madrid,La Liga,Dani Ceballos,ESP,MF,25,1996,17.4,43,29,13,15,15,25,64,39.1,39,23,2,21,25,68,6,1,https://fbref.com/en/players/c0617e2b/Dani-Ceballos
2023,Real Madrid,La Liga,Thibaut Courtois,BEL,GK,30,1992,31,1,0,1,0,0,1,1,100,0,0,0,0,3,4,7,1,https://fbref.com/en/players/1840e36d/Thibaut-Courtois
2023,Real Madrid,La Liga,Eden Hazard,BEL,FW,31,1991,2.2,0,0,0,0,0,0,2,0,2,1,0,1,1,1,0,0,https://fbref.com/en/players/a39bb753/Eden-Hazard
2023,Real Madrid,La Liga,Vinicius Júnior,BRA,FW,22,2000,31.4,30,21,10,12,8,14,39,35.9,25,24,1,23,6,36,1,0,https://fbref.com/en/players/7111d552/Vinicius-Junior
2023,Real Madrid,La Liga,Toni Kroos,GER,MF,32,1990,23.9,51,32,16,33,2,23,69,33.3,46,23,4,19,24,75,11,0,https://fbref.com/en/players/6ce1f46f/Toni-Kroos
2023,Real Madrid,La Liga,Andriy Lunin,UKR,GK,23,1999,7,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,https://fbref.com/en/players/3061e1ec/Andriy-Lunin
2023,Real Madrid,La Liga,Mariano,DOM,FW,28,1993,1.7,1,0,0,1,0,0,0,NA,0,1,0,1,0,1,0,0,https://fbref.com/en/players/5c4dc0ff/Mariano
2023,Real Madrid,La Liga,Ferland Mendy,FRA,DF,27,1995,15,21,12,14,6,1,12,20,60,8,7,2,5,14,35,16,0,https://fbref.com/en/players/3cefcaef/Ferland-Mendy
2023,Real Madrid,La Liga,Éder Militão,BRA,DF,24,1998,30,46,32,25,18,3,26,33,78.8,7,67,39,28,42,88,104,2,https://fbref.com/en/players/2784f898/Eder-Militao
2023,Real Madrid,La Liga,Luka Modrić,CRO,MF,36,1985,19.4,19,9,6,6,7,10,25,40,15,15,5,10,10,29,7,0,https://fbref.com/en/players/6025fab1/Luka-Modric
2023,Real Madrid,La Liga,Nacho,ESP,DF,32,1990,18.2,24,16,17,5,2,12,29,41.4,17,11,6,5,18,42,37,0,https://fbref.com/en/players/2946f9a1/Nacho
2023,Real Madrid,La Liga,Álvaro Odriozola,ESP,DF,26,1995,0.4,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/1d1691ad/Alvaro-Odriozola
2023,Real Madrid,La Liga,Álvaro Rodríguez,URU,FW,18,2004,0.9,2,1,1,0,1,1,1,100,0,0,0,0,0,2,1,0,https://fbref.com/en/players/49a6ecbb/Alvaro-Rodriguez
2023,Real Madrid,La Liga,Rodrygo,BRA,"FW,MF",21,2001,26.4,17,10,3,7,7,4,23,17.4,19,23,0,23,8,25,5,0,https://fbref.com/en/players/8f5e92a6/Rodrygo
2023,Real Madrid,La Liga,Antonio Rüdiger,GER,DF,29,1993,26.8,18,16,12,5,1,14,23,60.9,9,23,13,10,19,37,74,0,https://fbref.com/en/players/18b896d6/Antonio-Rudiger
2023,Real Madrid,La Liga,Aurélien Tchouaméni,FRA,MF,22,2000,23.5,64,40,23,36,5,23,38,60.5,15,20,6,14,49,113,50,0,https://fbref.com/en/players/4f255115/Aurelien-Tchouameni
2023,Real Madrid,La Liga,Jesús Vallejo,ESP,DF,25,1997,0.2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/c2111b45/Jesus-Vallejo
2023,Real Madrid,La Liga,Federico Valverde,URU,"MF,FW",24,1998,27.8,31,20,14,11,6,13,26,50,13,31,4,27,17,48,15,0,https://fbref.com/en/players/0959c2a2/Federico-Valverde
2023,Real Madrid,La Liga,Lucas Vázquez,ESP,DF,31,1991,12.7,34,23,22,10,2,20,28,71.4,8,10,0,10,7,41,13,0,https://fbref.com/en/players/fd51b456/Lucas-Vazquez
2023,Real Sociedad,La Liga,Mohamed Ali Cho,FRA,"FW,MF",18,2004,6.5,13,10,6,5,2,4,10,40,6,9,0,9,2,15,2,0,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho
